video_id,class,label
38079,Zooming In With Full Hand,21
9606,Zooming In With Two Fingers,22
100962,Shaking Hand,7
10366,Zooming Out With Full Hand,23
100390,Swiping Up,16
44593,Swiping Right,15
100868,Pushing Hand Away,3
102351,Swiping Left,14
123505,Sliding Two Fingers Up,11
11822,Pushing Hand Away,3
73868,Swiping Down,13
1148,Drumming Fingers,0
34709,Drumming Fingers,0
54608,Swiping Right,15
24099,Sliding Two Fingers Left,9
123576,Rolling Hand Backward,5
26442,Rolling Hand Backward,5
101367,Zooming In With Two Fingers,22
123571,Pulling Hand In,1
82489,Shaking Hand,7
106207,Sliding Two Fingers Right,10
50095,Shaking Hand,7
119748,Sliding Two Fingers Down,8
122324,Sliding Two Fingers Up,11
77671,Rolling Hand Forward,6
33471,Pulling Hand In,1
146118,Swiping Right,15
100499,Sliding Two Fingers Right,10
87759,Rolling Hand Forward,6
67746,Zooming In With Full Hand,21
83462,Zooming Out With Full Hand,23
105722,Thumb Up,18
103699,Swiping Left,14
25006,Zooming In With Full Hand,21
65322,Zooming Out With Two Fingers,24
61306,Rolling Hand Backward,5
57257,Sliding Two Fingers Left,9
55199,Swiping Left,14
17796,Sliding Two Fingers Right,10
9605,Rolling Hand Backward,5
143800,Zooming Out With Full Hand,23
68168,Swiping Up,16
108706,Swiping Up,16
44667,Shaking Hand,7
83061,Swiping Left,14
98848,Shaking Hand,7
135625,Drumming Fingers,0
40109,Stop Sign,12
90804,Zooming Out With Full Hand,23
121471,Shaking Hand,7
68972,Swiping Left,14
147916,Rolling Hand Backward,5
97650,Pulling Two Fingers In,2
7723,Drumming Fingers,0
84553,Pushing Two Fingers Away,4
78654,Drumming Fingers,0
47758,Zooming Out With Two Fingers,24
16839,Swiping Down,13
89587,Thumb Up,18
34080,Turning Hand Counterclockwise,20
118708,Zooming In With Two Fingers,22
64047,Drumming Fingers,0
88203,Swiping Right,15
44405,Zooming Out With Two Fingers,24
46495,Swiping Left,14
6498,Pulling Hand In,1
42312,Thumb Down,17
122839,Zooming Out With Full Hand,23
20341,Sliding Two Fingers Right,10
56059,Swiping Up,16
137993,Rolling Hand Forward,6
58767,Zooming Out With Full Hand,23
80385,Sliding Two Fingers Down,8
30697,Swiping Up,16
16722,Zooming Out With Full Hand,23
24077,Pushing Hand Away,3
27927,Swiping Up,16
58003,Sliding Two Fingers Up,11
33998,Stop Sign,12
97258,Swiping Down,13
17755,Pushing Two Fingers Away,4
80622,Swiping Down,13
68028,Pulling Two Fingers In,2
131552,Drumming Fingers,0
80645,Pushing Two Fingers Away,4
18044,Zooming In With Full Hand,21
41328,Sliding Two Fingers Right,10
40145,Thumb Down,17
