video_id,class,label
51286,Zooming Out With Two Fingers,24
119863,Pushing Two Fingers Away,4
71545,Swiping Left,14
44909,Swiping Down,13
34374,Pushing Two Fingers Away,4
111155,Rolling Hand Backward,5
8274,Zooming Out With Two Fingers,24
56810,Pulling Hand In,1
68963,Stop Sign,12
40940,Pushing Hand Away,3
34316,Turning Hand Clockwise,19
137662,Rolling Hand Forward,6
117230,Sliding Two Fingers Down,8
51987,Drumming Fingers,0
21963,Stop Sign,12
106895,Thumb Up,18
70896,Pushing Two Fingers Away,4
81777,Zooming Out With Full Hand,23
10359,Drumming Fingers,0
12070,Rolling Hand Forward,6
71636,Zooming Out With Two Fingers,24
138201,Rolling Hand Backward,5
52876,Sliding Two Fingers Left,9
29726,Pulling Hand In,1
124752,Swiping Left,14
72556,Swiping Down,13
14694,Turning Hand Counterclockwise,20
63308,Shaking Hand,7
147490,Zooming Out With Full Hand,23
51619,Shaking Hand,7
9560,Swiping Down,13
127474,Sliding Two Fingers Up,11
66818,Rolling Hand Backward,5
58605,Rolling Hand Backward,5
24449,Pushing Two Fingers Away,4
131977,Stop Sign,12
57787,Rolling Hand Backward,5
111138,Sliding Two Fingers Down,8
96348,Pushing Hand Away,3
30894,Turning Hand Counterclockwise,20
145390,Thumb Down,17
115265,Drumming Fingers,0
39634,Sliding Two Fingers Up,11
80502,Swiping Up,16
124369,Thumb Up,18
44769,Pushing Two Fingers Away,4
81716,Swiping Right,15
43337,Pushing Two Fingers Away,4
112556,Sliding Two Fingers Down,8
132506,Turning Hand Clockwise,19
12454,Pushing Two Fingers Away,4
58011,Turning Hand Clockwise,19
131644,Pushing Two Fingers Away,4
118718,Sliding Two Fingers Up,11
65910,Sliding Two Fingers Left,9
102156,Swiping Up,16
58042,Swiping Up,16
15084,Turning Hand Clockwise,19
15219,Sliding Two Fingers Right,10
42350,Sliding Two Fingers Up,11
105580,Thumb Up,18
109993,Pulling Hand In,1
103344,Swiping Down,13
17115,Stop Sign,12
36647,Sliding Two Fingers Left,9
21924,Swiping Down,13
